"date","time","city","venue","link"
9/14/16,6:00pm,"Brookville, NY",Tilles Center for the Arts,http://www.ticketmaster.com/peppa-pig-live-brookville-new-york-09-14-2016/event/0000505AB51A441B
9/15/16,6:00pm,"Syracuse, NY",Crouse-Hinds Theatre at John H. Mulroy Civic Center at Oncenter,http://www.ticketmaster.com/peppa-pig-live-syracuse-new-york-09-15-2016/event/0000505AEFEBB051
9/16/16,6:00pm,"Binghamton, NY",The Forum Theatre,http://www.ticketmaster.com/event/0000505DC12E491F
9/17/16,2:00pm,"Morristown, NJ",Mayo Performing Arts Center,http://www.mayoarts.org/event-preview/701
9/17/16,5:00pm,"Morristown, NJ",Mayo Performing Arts Center,http://www.mayoarts.org/event-preview/701
9/18/16,2:00pm,"New Brunswick, NJ",State Theatre,http://www.ticketmaster.com/event/0000505DB1DB3A03
9/18/16,5:00pm,"New Brunswick, NJ",State Theatre,http://www.ticketmaster.com/event/0000505DB1E13A08
9/21/16,6:00pm,"Portland, ME",Merrill Auditorium at City Hall,https://tickets.porttix.com/public/loader.asp?target=show.asp?shcode=1767
9/22/16,6:00pm,"Orono, ME",Collins Center For The Arts,http://www.ticketmaster.com/peppa-pig-live-orono-maine-09-22-2016/event/010050591DF5A796
9/23/16,6:00pm,"Waterbury, CT",The Palace Theater,http://purchase.tickets.com/buy/TicketPurchase?pid=8208818
9/24/16,5:00pm,"Kingston, NY",Ulster Performing Arts Center,http://www.ticketmaster.com/peppa-pig-live-kingston-new-york-09-24-2016/event/0000505AECE9AE6F
9/25/16,5:00pm,"Williamsport, PA",Williamsport Community Arts Center,http://www.caclive.com/event/peppa-pigs-big-splash-live/
9/27/16,6:00pm,"Durham, NC",Durham Performing Arts Center,http://www.ticketmaster.com/event/0E005072CAB0738A
9/28/16,6:00pm,"Cleveland, OH",Playhouse Square - State Theatre,http://www.playhousesquare.org/events/detail/peppa-pig-live
9/29/16,6:00pm,"Charleston, WV",Clay Center for Arts & Sciences,https://tickets.theclaycenter.org/public/show.asp
9/30/16,6:30pm,"Norfolk, VA",Chrysler Hall Theatre,http://www.ticketmaster.com/peppa-pig-live-big-splash-norfolk-virginia-09-30-2016/event/0100505DEFD48921
10/1/16,5:00pm,"Roanoke, VA",Berglund Performing Arts Theatre,http://ev10.evenue.net/cgi-bin/ncommerce3/SEGetEventList?groupCode=PP1001&linkID=global-roanoke&shopperContext=&caller=&appCode=
10/2/16,1:00pm,"Charlotte, NC",Belk Theater at North Carolina Blumenthal Performing Arts Center ,https://tix.carolinatix.org/online/mapSelect.asp?BOset::WSmap::seatmap::performance_ids=F9AA9896-DFAB-41C7-BB39-56A853DE868A
10/2/16,5:00pm,"Charlotte, NC",Belk Theater at North Carolina Blumenthal Performing Arts Center ,https://tix.carolinatix.org/online/mapSelect.asp?BOset::WSmap::seatmap::performance_ids=2DF52432-CD7E-46C5-BDB3-3F59C38EB388
10/4/16,6:00pm,"Savannah, GA",Johnny Mercer Theater - Savannah Civic Center,https://www.etix.com/ticket/p/5965133/peppa-pig-savannah-savannah-civic-centerjohnny-mercer-theatre
10/5/16,6:00pm,"Chattanooga, TN",Tivoli Theatre,http://www.etix.com/ticket/p/3120048/peppa-pig-live-chattanooga-tivoli-theatre
10/6/16,6:00pm,"Asheville, NC",Thomas Wolfe Auditorium,http://www.ticketmaster.com/event/0E00505D9BD23511
10/7/16,6:00pm,"Columbia, SC",Township Auditorium,http://www.ticketmaster.com/peppa-pig-live-columbia-south-carolina-10-07-2016/event/0E005061932A30CA
10/8/16,5:00pm,"Richmond, KY",Eastern Kentucky University - EKU Center for the Arts,http://www.etix.com/ticket/p/4278174/peppa-pig-richmond-eku-center-for-the-arts
10/9/16,5:00pm,"Columbus, OH",Palace Theatre,http://www.ticketmaster.com/peppa-pig-live-columbus-ohio-10-09-2016/event/0500505ADFE4996F
10/11/16,6:00pm,"South Bend, IN",Morris Performing Arts Center,http://morriscenter.org/schedule.php?id=339
10/14/16,6:00pm,"Merrillville, IN",Star Plaza Theatre,http://www.ticketmaster.com/peppa-pig-live-big-splash-merrillville-indiana-10-14-2016/event/07005061EEE976CA
10/15/16,5:00pm,"Appleton, WI",Fox Cities Performing Arts Center,http://www.ticketmaster.com/peppa-pig-live-big-splash-appleton-wisconsin-10-15-2016/event/0700505AAAA14EC8
10/16/16,2:00pm,"Waukegan, IL",Genesee Theatre,http://www.ticketmaster.com/peppa-pig-live-waukegan-illinois-10-16-2016/event/0700505DE97575D1
10/18/16,6:00pm,"Lincoln, NE",Lied Center for Performing Arts,http://www.liedcenter.org/event/peppa-pig%E2%80%99s-big-splash
10/19/16,6:00pm,"Ames, IA",Stephens Auditorium - Iowa State Center     ,http://www.ticketmaster.com/event/06005075C9176C96
10/20/16,6:00pm,"Davenport, IA",Adler Theatre,http://www.ticketmaster.com/peppa-pig-live-davenport-iowa-10-20-2016/event/060050628FE52D57
10/21/16,6:00pm,"Bowling Green,KY",Southern Kentucky Performing Arts Center (SKyPAC),http://theskypac.com/events/peppa-pig-live/
10/22/16,5:00pm,"Memphis, TN",Orpheum Theatre ,http://www.ticketmaster.com/peppa-pig-live-big-splash-memphis-tennessee-10-22-2016/event/1B00505DAAF05B03
10/23/16,5:00pm,"Augusta, GA",Bell Auditorium,http://ev9.evenue.net/cgi-bin/ncommerce3/SEGetEventList?groupCode=PPIG&linkID=global-augusta&shopperContext=&caller=&appCode=
